0.00785693,376
0.00883021,1088
0.0326908,1848
0.0363314,159
0.0595753,2138
0.0755941,210
0.0881823,856
0.0887517,2299
0.0935388,176
0.126856,1396
0.127739,1186
0.133841,243
0.143733,534
0.147427,476
0.167806,266
0.172928,3153
0.173785,807
0.175362,724
0.182471,3768
0.199941,3686
0.212343,342
0.213682,629
0.248903,1491
0.263688,1765
0.278605,509
0.282114,1348
0.288594,1547
0.289058,886
0.294492,468
0.309869,117
0.317594,294
0.340411,448
0.355594,88
0.361431,178
0.394472,641
0.409652,249
0.41479,1654
0.432935,3366
0.441832,545
0.443375,2028
0.452123,37
0.452763,40
0.454701,1279
0.480038,372
0.500004,303
0.510487,1750
0.511732,24
0.522637,1602
0.538966,198
0.545568,1053
0.563946,474
0.566617,696
0.568137,1794
0.570225,1789
0.597079,218
0.599595,1934
0.631801,1378
0.651385,827
0.674058,1297
0.679153,2239
0.683401,437
0.686068,2850
0.697277,961
0.728613,3636
0.732721,1885
0.749339,1378
0.752964,2321
0.753202,1373
0.755442,1887
0.768129,565
0.774907,2323
0.775454,1373
0.791157,822
0.814268,457
0.840956,41
0.864089,2326
0.89631,56
0.912891,773
0.91509,633
0.923119,392
0.924004,32
0.930152,480
0.933739,2261
0.944908,25
0.947709,293
0.958665,1313
0.96623,767
0.971405,641
0.985353,1569
1.01229,157
1.02154,778
1.02197,60
1.06192,414
1.06439,3463
1.06784,1441
1.07082,29
1.07334,1218
1.08944,1099
1.10258,697
1.10488,1061
1.11619,22
1.12503,314
1.14613,432
1.16055,605
1.16121,343
1.16571,57
1.17076,757
1.17646,1564
1.20813,38
1.21096,250
1.21247,515
1.22528,315
1.22849,55
1.24058,2764
1.26244,778
1.2664,207
1.27668,300
1.30939,1758
1.31403,107
1.32242,1311
1.34867,600
1.39309,343
1.40638,1332
1.43553,131
1.4488,2019
1.45026,1394
1.45769,1147
1.46604,144
1.47554,162
1.47662,523
1.48119,2113
1.48267,3696
1.48692,1476
1.4872,1735
1.49019,34
1.49398,1886
1.50578,14
1.50918,163
1.54243,2420
1.55607,245
1.5606,3129
1.57223,419
1.57569,407
1.62051,279
1.62597,676
1.63227,2302
1.64135,966
1.64403,684
1.65902,243
1.65926,529
1.67525,570
1.6759,263
1.68014,422
1.69636,168
1.74613,4317
1.749,567
1.75086,477
1.75312,699
1.75828,372
1.77645,64
1.77659,2078
1.77771,17
1.80477,1167
1.80564,4532
1.84108,459
1.85176,73
1.86309,161
1.88869,408
1.90723,20
