variance,ber
0.01,0.166325
0.012,0.166325
0.0144,0.166325
0.01728,0.166325
0.020736,0.166325
0.0248832,0.166324
0.0298598,0.16634
0.0358318,0.16639
0.0429982,0.166524
0.0515978,0.166982
0.0619174,0.167949
0.0743008,0.169498
0.089161,0.172228
0.106993,0.176515
0.128392,0.182556
0.15407,0.190031
0.184884,0.199749
0.221861,0.210585
0.266233,0.223113
0.31948,0.236254
0.383376,0.250988
0.460051,0.265213
0.552061,0.279954
0.662474,0.294379
0.794968,0.308802
0.953962,0.322616
1.14475,0.335404
1.37371,0.349366
1.64845,0.360741
1.97814,0.371717
2.37376,0.382943
2.84852,0.391522
3.41822,0.399848
4.10186,0.408898
4.92224,0.416364
5.90668,0.422461
7.08802,0.429815
8.50562,0.435774
