variance,ber
0.01,0.033932
0.012,0.034771
0.0144,0.036394
0.01728,0.039096
0.020736,0.043354
0.0248832,0.049175
0.0298598,0.057215
0.0358318,0.067293
0.0429982,0.079097
0.0515978,0.092417
0.0619174,0.106192
0.0743008,0.121932
0.089161,0.137904
0.106993,0.153645
0.128392,0.17107
0.15407,0.188276
0.184884,0.205571
0.221861,0.224197
0.266233,0.242876
0.31948,0.261853
0.383376,0.28122
0.460051,0.3002
0.552061,0.318056
0.662474,0.336816
0.794968,0.353058
0.953962,0.3692
1.14475,0.383179
1.37371,0.396004
1.64845,0.406244
1.97814,0.4167
2.37376,0.427152
2.84852,0.435864
3.41822,0.441336
4.10186,0.447594
4.92224,0.453313
5.90668,0.457955
7.08802,0.46215
8.50562,0.466967
